"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","DNK.NGDPDPC.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","61456.783","59489.614","61075.932","69538.862","68122.941","68207.562","71214.061","77046.358"
"IMF.RES:WEO(9.0.0)","DEU.NGDPDPC.A","OBS_VALUE","Germany","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","49384.527","48177.607","47953.683","53151.541","50943.628","54793.074","56086.903","60438.790"
"IMF.RES:WEO(9.0.0)","GX123.PCPIPCH.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.550","1.083","0.474","2.369","5.643","4.290","2.342","2.020"
"IMF.RES:WEO(9.0.0)","BEL.BCA_NGDPD.A","OBS_VALUE","Belgium","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.915","0.139","0.915","1.837","-1.945","0.194","-0.378","-2.130"
"IMF.RES:WEO(9.0.0)","BEL.NGDPDPC.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","47627.406","46858.358","45933.801","51833.160","50918.392","55482.368","56796.370","61002.007"
"IMF.RES:WEO(9.0.0)","BEL.LP.A","OBS_VALUE","Belgium","Population, Persons for countries / Index for country groups","Annual","Millions","11.399","11.456","11.522","11.555","11.618","11.743","11.817","11.883"
"IMF.RES:WEO(9.0.0)","AUT.NGDPDPC.A","OBS_VALUE","Austria","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","50963.207","50010.449","48764.175","53827.338","52748.753","56763.597","58373.328","63161.353"
"IMF.RES:WEO(9.0.0)","GX123.BCA_NGDPD.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Current account balance (credit less debit), Percent of GDP","Annual","Units","4.242","4.407","4.997","6.644","6.426","5.458","6.614","6.753"
"IMF.RES:WEO(9.0.0)","SMR.NGDPDPC.A","OBS_VALUE","San Marino, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","49477.281","48043.860","45640.984","54733.239","53875.751","59415.472","60946.226","65542.605"
"IMF.RES:WEO(9.0.0)","ITA.NGDPDPC.A","OBS_VALUE","Italy","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","35042.793","33766.987","31956.874","36812.907","35672.007","39282.374","40404.749","43270.357"
"IMF.RES:WEO(9.0.0)","LUX.PCPIPCH.A","OBS_VALUE","Luxembourg","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.018","1.651","0.006","3.473","8.144","2.925","2.253","2.537"
"IMF.RES:WEO(9.0.0)","FRA.LP.A","OBS_VALUE","France","Population, Persons for countries / Index for country groups","Annual","Millions","66.992","67.258","67.442","67.697","68.060","68.405","68.638","68.852"
"IMF.RES:WEO(9.0.0)","FRA.NGDPDPC.A","OBS_VALUE","France","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","41539.756","40487.302","39230.928","43848.345","41095.770","44749.675","46053.562","48929.949"
"IMF.RES:WEO(9.0.0)","DEU.LP.A","OBS_VALUE","Germany","Population, Persons for countries / Index for country groups","Annual","Millions","82.157","82.203","82.126","81.995","82.529","83.287","83.517","83.524"
"IMF.RES:WEO(9.0.0)","DNK.PCPIPCH.A","OBS_VALUE","Denmark","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.690","0.715","0.345","1.936","8.552","3.357","1.272","1.824"
"IMF.RES:WEO(9.0.0)","FRA.PCPIPCH.A","OBS_VALUE","France","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.103","1.298","0.526","2.068","5.903","5.661","2.317","0.926"
"IMF.RES:WEO(9.0.0)","DNK.LP.A","OBS_VALUE","Denmark","Population, Persons for countries / Index for country groups","Annual","Millions","5.781","5.806","5.823","5.840","5.873","5.933","5.961","5.993"
"IMF.RES:WEO(9.0.0)","FRA.BCA_NGDPD.A","OBS_VALUE","France","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.698","0.597","-2.053","0.277","-1.419","-1.039","0.091","-0.440"
"IMF.RES:WEO(9.0.0)","NLD.PCPIPCH.A","OBS_VALUE","Netherlands, The","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.597","2.670","1.110","2.821","11.627","4.115","3.225","2.984"
"IMF.RES:WEO(9.0.0)","NOR.PCPIPCH.A","OBS_VALUE","Norway","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.741","2.170","1.295","3.468","5.774","5.496","3.181","3.040"
