"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","ATG.LP.A","OBS_VALUE","Antigua and Barbuda","Population, Persons for countries / Index for country groups","Annual","Millions","0.095","0.096","0.098","0.099","0.101","0.102","0.104","0.105"
"IMF.RES:WEO(9.0.0)","ATG.PCPIPCH.A","OBS_VALUE","Antigua and Barbuda","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.211","1.431","1.058","1.627","7.531","5.067","6.202","1.363"
"IMF.RES:WEO(9.0.0)","ABW.LP.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Population, Persons for countries / Index for country groups","Annual","Millions","0.109","0.109","0.109","0.109","0.109","0.109","0.109","0.109"
"IMF.RES:WEO(9.0.0)","PER.NGDPDPC.A","OBS_VALUE","Peru","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","7272.990","7353.109","6407.682","6923.086","7431.168","8086.186","8665.536","9910.942"
"IMF.RES:WEO(9.0.0)","PRY.NGDPDPC.A","OBS_VALUE","Paraguay","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6608.542","6171.908","5712.584","6392.109","6658.350","6818.660","7020.472","7691.636"
"IMF.RES:WEO(9.0.0)","URY.LP.A","OBS_VALUE","Uruguay","Population, Persons for countries / Index for country groups","Annual","Millions","3.504","3.508","3.510","3.508","3.501","3.496","3.492","3.486"
"IMF.RES:WEO(9.0.0)","URY.NGDPDPC.A","OBS_VALUE","Uruguay","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","18656.026","17740.460","15256.948","17313.507","20347.456","22655.825","23576.271","24548.800"
"IMF.RES:WEO(9.0.0)","PER.LP.A","OBS_VALUE","Peru","Population, Persons for countries / Index for country groups","Annual","Millions","31.562","32.131","32.626","33.035","33.397","33.731","34.068","34.409"
"IMF.RES:WEO(9.0.0)","PRY.LP.A","OBS_VALUE","Paraguay","Population, Persons for countries / Index for country groups","Annual","Millions","6.087","6.145","6.202","6.248","6.284","6.327","6.373","6.417"
"IMF.RES:WEO(9.0.0)","PER.BCA_NGDPD.A","OBS_VALUE","Peru","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.240","-0.701","0.753","-2.226","-4.018","0.323","2.240","3.143"
"IMF.RES:WEO(9.0.0)","PRY.PCPIPCH.A","OBS_VALUE","Paraguay","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.972","2.757","1.768","4.788","9.766","4.632","3.835","4.108"
"IMF.RES:WEO(9.0.0)","URY.BCA_NGDPD.A","OBS_VALUE","Uruguay","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.460","1.291","-0.641","-2.433","-3.527","-2.997","-0.772","-0.521"
"IMF.RES:WEO(9.0.0)","URY.PCPIPCH.A","OBS_VALUE","Uruguay","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","7.606","7.883","9.754","7.750","9.106","5.866","4.850","4.651"
"IMF.RES:WEO(9.0.0)","DMA.LP.A","OBS_VALUE","Dominica","Population, Persons for countries / Index for country groups","Annual","Millions","0.070","0.072","0.073","0.074","0.074","0.074","0.075","0.075"
"IMF.RES:WEO(9.0.0)","GRD.PCPIPCH.A","OBS_VALUE","Grenada","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.806","0.598","-0.742","1.221","2.561","2.715","1.086","0.617"
"IMF.RES:WEO(9.0.0)","BRB.BCA_NGDPD.A","OBS_VALUE","Barbados","Current account balance (credit less debit), Percent of GDP","Annual","Units","-3.357","-0.978","-5.131","-7.902","-7.881","-7.789","-3.902","-7.513"
"IMF.RES:WEO(9.0.0)","ATG.BCA_NGDPD.A","OBS_VALUE","Antigua and Barbuda","Current account balance (credit less debit), Percent of GDP","Annual","Units","-13.994","-6.505","-15.566","-17.578","-15.083","-12.906","-7.457","-11.646"
"IMF.RES:WEO(9.0.0)","ABW.PCPIPCH.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.625","3.938","-1.312","0.744","5.522","3.363","1.712","0.081"
"IMF.RES:WEO(9.0.0)","ATG.NGDPDPC.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","17470.660","17899.372","14419.909","16128.189","18428.877","20099.773","20887.646","21675.729"
"IMF.RES:WEO(9.0.0)","BHS.NGDPDPC.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","33618.059","34455.207","26612.553","30522.745","34801.709","37827.627","38791.831","40005.147"
"IMF.RES:WEO(9.0.0)","BHS.BCA_NGDPD.A","OBS_VALUE","Bahamas, The","Current account balance (credit less debit), Percent of GDP","Annual","Units","-9.355","-2.117","-21.996","-20.221","-8.870","-7.001","-7.617","-9.951"
"IMF.RES:WEO(9.0.0)","ABW.BCA_NGDPD.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.530","0.193","-17.197","-2.250","6.409","5.430","9.639","7.746"
"IMF.RES:WEO(9.0.0)","BHS.LP.A","OBS_VALUE","Bahamas, The","Population, Persons for countries / Index for country groups","Annual","Millions","0.381","0.385","0.389","0.394","0.399","0.404","0.408","0.413"
"IMF.RES:WEO(9.0.0)","BHS.PCPIPCH.A","OBS_VALUE","Bahamas, The","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.268","2.491","0.039","2.905","5.605","3.059","0.403","0.620"
"IMF.RES:WEO(9.0.0)","VEN.PCPIPCH.A","OBS_VALUE","Venezuela, República Bolivariana de","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","65374.082","19906.024","2355.147","1588.513","186.542","337.458","49.356","251.954"
"IMF.RES:WEO(9.0.0)","BLZ.PCPIPCH.A","OBS_VALUE","Belize","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.270","0.186","0.122","3.239","6.274","4.399","3.280","1.066"
"IMF.RES:WEO(9.0.0)","PRI.LP.A","OBS_VALUE","Puerto Rico","Population, Persons for countries / Index for country groups","Annual","Millions","3.200","3.200","3.159","3.200","3.200","3.206","3.177","3.175"
"IMF.RES:WEO(9.0.0)","GUY.LP.A","OBS_VALUE","Guyana","Population, Persons for countries / Index for country groups","Annual","Millions","0.791","0.838","0.860","0.874","0.896","0.918","0.956","1.004"
"IMF.RES:WEO(9.0.0)","GRD.NGDPDPC.A","OBS_VALUE","Grenada","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","10419.126","10779.062","9222.709","9863.609","10697.777","11619.383","11685.377","12210.274"
"IMF.RES:WEO(9.0.0)","GRD.LP.A","OBS_VALUE","Grenada","Population, Persons for countries / Index for country groups","Annual","Millions","0.112","0.113","0.113","0.114","0.114","0.115","0.116","0.116"
"IMF.RES:WEO(9.0.0)","BRB.PCPIPCH.A","OBS_VALUE","Barbados","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.124","1.659","0.572","1.536","4.361","3.187","1.477","0.767"
"IMF.RES:WEO(9.0.0)","DMA.NGDPDPC.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","7981.044","8466.407","6872.220","7530.367","8193.119","8852.547","9203.616","9894.530"
"IMF.RES:WEO(9.0.0)","DMA.BCA_NGDPD.A","OBS_VALUE","Dominica","Current account balance (credit less debit), Percent of GDP","Annual","Units","-46.653","-38.132","-36.965","-33.516","-27.257","-40.373","-37.804","-37.972"
"IMF.RES:WEO(9.0.0)","BRB.LP.A","OBS_VALUE","Barbados","Population, Persons for countries / Index for country groups","Annual","Millions","0.286","0.287","0.288","0.289","0.289","0.290","0.291","0.292"
"IMF.RES:WEO(9.0.0)","GUY.BCA_NGDPD.A","OBS_VALUE","Guyana","Current account balance (credit less debit), Percent of GDP","Annual","Units","-28.974","-68.779","-17.334","-24.655","25.858","9.929","16.467","12.886"
"IMF.RES:WEO(9.0.0)","BRB.NGDPDPC.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","20950.360","21474.039","18767.854","20610.862","23799.442","24876.733","26076.090","27494.481"
"IMF.RES:WEO(9.0.0)","DMA.PCPIPCH.A","OBS_VALUE","Dominica","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.989","1.505","-0.727","1.571","7.707","4.208","3.081","2.300"
"IMF.RES:WEO(9.0.0)","GRD.BCA_NGDPD.A","OBS_VALUE","Grenada","Current account balance (credit less debit), Percent of GDP","Annual","Units","-12.758","-10.329","-16.106","-14.380","-12.128","-20.295","-21.887","-17.763"
"IMF.RES:WEO(9.0.0)","KNA.NGDPDPC.A","OBS_VALUE","St. Kitts and Nevis","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","21322.656","21683.638","17155.438","16561.586","18759.780","20153.605","20427.200","21002.096"
"IMF.RES:WEO(9.0.0)","LCA.BCA_NGDPD.A","OBS_VALUE","St. Lucia","Current account balance (credit less debit), Percent of GDP","Annual","Units","1.472","3.325","-18.788","-10.397","-3.307","-2.160","-1.555","-4.593"
"IMF.RES:WEO(9.0.0)","BLZ.BCA_NGDPD.A","OBS_VALUE","Belize","Current account balance (credit less debit), Percent of GDP","Annual","Units","-6.597","-7.754","-6.248","-6.500","-8.275","-1.029","-1.918","-3.548"
"IMF.RES:WEO(9.0.0)","GUY.NGDPDPC.A","OBS_VALUE","Guyana","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6053.036","6174.276","6363.155","9201.445","16425.048","18428.076","25792.414","26993.648"
"IMF.RES:WEO(9.0.0)","BLZ.LP.A","OBS_VALUE","Belize","Population, Persons for countries / Index for country groups","Annual","Millions","0.379","0.386","0.393","0.399","0.397","0.404","0.411","0.417"
"IMF.RES:WEO(9.0.0)","PRI.NGDPDPC.A","OBS_VALUE","Puerto Rico","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","31549.375","32851.875","32643.179","33258.313","35576.156","36926.516","39612.165","39846.727"
"IMF.RES:WEO(9.0.0)","JAM.BCA_NGDPD.A","OBS_VALUE","Jamaica","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.401","-1.780","-1.041","0.934","-0.727","2.671","2.945","1.210"
"IMF.RES:WEO(9.0.0)","BLZ.NGDPDPC.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6035.101","6166.947","5209.415","6081.048","7161.557","7551.652","7796.261","7968.270"
"IMF.RES:WEO(9.0.0)","JAM.NGDPDPC.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6139.400","6218.412","5508.814","5832.058","6819.746","7754.694","7964.675","8105.530"
"IMF.RES:WEO(9.0.0)","JAM.LP.A","OBS_VALUE","Jamaica","Population, Persons for countries / Index for country groups","Annual","Millions","2.731","2.734","2.737","2.740","2.743","2.747","2.750","2.753"
"IMF.RES:WEO(9.0.0)","JAM.PCPIPCH.A","OBS_VALUE","Jamaica","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.740","3.910","5.210","5.882","10.347","6.471","5.548","3.883"
"IMF.RES:WEO(9.0.0)","GUY.PCPIPCH.A","OBS_VALUE","Guyana","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.254","2.110","0.723","4.507","6.933","2.821","2.906","3.329"
"IMF.RES:WEO(9.0.0)","SUR.PCPIPCH.A","OBS_VALUE","Suriname","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","6.939","4.392","34.890","59.120","52.448","51.583","16.222","9.213"
"IMF.RES:WEO(9.0.0)","TTO.BCA_NGDPD.A","OBS_VALUE","Trinidad and Tobago","Current account balance (credit less debit), Percent of GDP","Annual","Units","6.808","4.345","-6.494","10.855","10.171","11.549","2.518","3.133"
"IMF.RES:WEO(9.0.0)","VCT.BCA_NGDPD.A","OBS_VALUE","St. Vincent and the Grenadines","Current account balance (credit less debit), Percent of GDP","Annual","Units","-10.304","-2.389","-15.909","-23.223","-20.499","-18.208","-17.141","-20.173"
"IMF.RES:WEO(9.0.0)","LCA.PCPIPCH.A","OBS_VALUE","St. Lucia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.935","0.539","-1.756","2.411","9.653","3.820","-0.675","2.027"
"IMF.RES:WEO(9.0.0)","PRI.PCPIPCH.A","OBS_VALUE","Puerto Rico","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.272","0.084","-0.497","2.410","6.018","3.478","2.016","1.354"
"IMF.RES:WEO(9.0.0)","VCT.LP.A","OBS_VALUE","St. Vincent and the Grenadines","Population, Persons for countries / Index for country groups","Annual","Millions","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"IMF.RES:WEO(9.0.0)","KNA.BCA_NGDPD.A","OBS_VALUE","St. Kitts and Nevis","Current account balance (credit less debit), Percent of GDP","Annual","Units","-5.929","-4.874","-11.048","-3.413","-10.825","-13.719","-13.023","-14.592"
"IMF.RES:WEO(9.0.0)","LCA.NGDPDPC.A","OBS_VALUE","St. Lucia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","11642.689","11794.236","8479.012","10470.677","13052.868","13367.086","14269.792","14602.770"
"IMF.RES:WEO(9.0.0)","VCT.PCPIPCH.A","OBS_VALUE","St. Vincent and the Grenadines","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.324","0.906","-0.606","1.557","5.660","4.565","3.594","0.913"
"IMF.RES:WEO(9.0.0)","LCA.LP.A","OBS_VALUE","St. Lucia","Population, Persons for countries / Index for country groups","Annual","Millions","0.177","0.178","0.178","0.179","0.179","0.179","0.180","0.182"
"IMF.RES:WEO(9.0.0)","KNA.LP.A","OBS_VALUE","St. Kitts and Nevis","Population, Persons for countries / Index for country groups","Annual","Millions","0.050","0.050","0.051","0.051","0.051","0.051","0.051","0.052"
"IMF.RES:WEO(9.0.0)","KNA.PCPIPCH.A","OBS_VALUE","St. Kitts and Nevis","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","-1.036","-0.331","-1.177","1.206","2.667","3.557","1.127","1.310"
"IMF.RES:WEO(9.0.0)","VCT.NGDPDPC.A","OBS_VALUE","St. Vincent and the Grenadines","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","8001.555","8231.638","7802.906","8017.609","8748.042","9432.762","10138.090","10572.654"
"IMF.RES:WEO(9.0.0)","SUR.BCA_NGDPD.A","OBS_VALUE","Suriname","Current account balance (credit less debit), Percent of GDP","Annual","Units","-2.968","-11.163","8.922","-2.570","1.349","-3.696","-12.864","-53.262"
"IMF.RES:WEO(9.0.0)","CYP.LP.A","OBS_VALUE","Cyprus","Population, Persons for countries / Index for country groups","Annual","Millions","0.879","0.890","0.902","0.914","0.930","0.949","0.966","0.983"
"IMF.RES:WEO(9.0.0)","TTO.PCPIPCH.A","OBS_VALUE","Trinidad and Tobago","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.019","1.001","0.599","2.061","5.826","4.629","0.527","0.994"
"IMF.RES:WEO(9.0.0)","SUR.LP.A","OBS_VALUE","Suriname","Population, Persons for countries / Index for country groups","Annual","Millions","0.590","0.598","0.609","0.618","0.628","0.637","0.647","0.657"
"IMF.RES:WEO(9.0.0)","CYP.PCPIPCH.A","OBS_VALUE","Cyprus","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.793","0.548","-1.109","2.263","8.099","3.925","2.258","0.832"
"IMF.RES:WEO(9.0.0)","BHR.LP.A","OBS_VALUE","Bahrain, Kingdom of","Population, Persons for countries / Index for country groups","Annual","Millions","1.503","1.484","1.472","1.504","1.525","1.577","1.589","1.620"
"IMF.RES:WEO(9.0.0)","IRQ.BCA_NGDPD.A","OBS_VALUE","Iraq","Current account balance (credit less debit), Percent of GDP","Annual","Units","8.055","5.878","-6.819","3.090","13.436","5.848","-2.085","-1.712"
"IMF.RES:WEO(9.0.0)","BHR.BCA_NGDPD.A","OBS_VALUE","Bahrain, Kingdom of","Current account balance (credit less debit), Percent of GDP","Annual","Units","-6.153","-1.963","-9.054","6.372","14.720","5.844","4.834","5.937"
"IMF.RES:WEO(9.0.0)","G400.BCA_NGDPD.A","OBS_VALUE","Middle East and Central Asia","Current account balance (credit less debit), Percent of GDP","Annual","Units","2.978","0.636","-3.402","2.991","7.771","3.680","1.968","0.671"
"IMF.RES:WEO(9.0.0)","G400.PCPIPCH.A","OBS_VALUE","Middle East and Central Asia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","9.506","7.429","10.388","11.940","13.269","15.465","13.891","11.232"
"IMF.RES:WEO(9.0.0)","G400.D_NGDPD.A","OBS_VALUE","Middle East and Central Asia","External debt, Percent of GDP","Annual","Units","41.803","46.551","57.293","51.107","42.854","45.355","47.025","49.424"
"IMF.RES:WEO(9.0.0)","SUR.NGDPDPC.A","OBS_VALUE","Suriname","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6772.070","6715.747","4782.092","4987.986","6056.880","5432.447","6852.344","7098.916"
"IMF.RES:WEO(9.0.0)","TTO.NGDPDPC.A","OBS_VALUE","Trinidad and Tobago","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","17184.022","16830.300","14925.795","17218.066","20041.800","17616.478","17948.642","18071.997"
"IMF.RES:WEO(9.0.0)","TTO.LP.A","OBS_VALUE","Trinidad and Tobago","Population, Persons for countries / Index for country groups","Annual","Millions","1.390","1.395","1.399","1.407","1.414","1.421","1.428","1.435"
"IMF.RES:WEO(9.0.0)","JOR.BCA_NGDPD.A","OBS_VALUE","Jordan","Current account balance (credit less debit), Percent of GDP","Annual","Units","-6.245","-2.437","-5.621","-7.271","-7.524","-3.345","-5.372","-5.557"
"IMF.RES:WEO(9.0.0)","JOR.PCPIPCH.A","OBS_VALUE","Jordan","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","4.463","0.758","0.334","1.347","4.229","2.084","1.556","1.767"
"IMF.RES:WEO(9.0.0)","ISR.NGDPDPC.A","OBS_VALUE","Israel","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","42285.344","44106.474","44594.510","52280.982","54983.858","52146.476","54294.192","60334.813"
"IMF.RES:WEO(9.0.0)","KWT.LP.A","OBS_VALUE","Kuwait","Population, Persons for countries / Index for country groups","Annual","Millions","4.420","4.465","4.336","4.386","4.794","4.913","5.012","5.112"
"IMF.RES:WEO(9.0.0)","JOR.LP.A","OBS_VALUE","Jordan","Population, Persons for countries / Index for country groups","Annual","Millions","10.460","10.699","10.865","11.066","11.256","11.439","11.553","11.521"
"IMF.RES:WEO(9.0.0)","ISR.PCPIPCH.A","OBS_VALUE","Israel","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.807","0.842","-0.587","1.492","4.395","4.208","3.071","3.034"
"IMF.RES:WEO(9.0.0)","IRQ.PCPIPCH.A","OBS_VALUE","Iraq","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.351","-0.199","0.574","6.042","4.987","4.416","2.578","0.311"
"IMF.RES:WEO(9.0.0)","IRN.BCA_NGDPD.A","OBS_VALUE","Iran, Islamic Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","7.635","-0.655","-1.743","3.626","3.523","2.038","3.176","0.640"
"IMF.RES:WEO(9.0.0)","BHR.PCPIPCH.A","OBS_VALUE","Bahrain, Kingdom of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.091","1.007","-2.325","-0.611","3.635","0.075","0.920","-0.138"
"IMF.RES:WEO(9.0.0)","CYP.NGDPDPC.A","OBS_VALUE","Cyprus","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","29325.824","29431.466","28295.900","33234.868","33602.955","36967.748","38932.645","41730.246"
"IMF.RES:WEO(9.0.0)","IRQ.NGDPDPC.A","OBS_VALUE","Iraq","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6037.885","6048.921","4547.330","5116.534","6818.152","6250.549","6451.080","5803.262"
"IMF.RES:WEO(9.0.0)","IRN.PCPIPCH.A","OBS_VALUE","Iran, Islamic Republic of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","26.916","34.787","36.458","40.187","45.750","40.692","32.487","50.861"
"IMF.RES:WEO(9.0.0)","CYP.BCA_NGDPD.A","OBS_VALUE","Cyprus","Current account balance (credit less debit), Percent of GDP","Annual","Units","-3.881","-5.513","-9.698","-5.485","-6.870","-9.739","-8.204","-8.053"
"IMF.RES:WEO(9.0.0)","IRN.LP.A","OBS_VALUE","Iran, Islamic Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","82.084","83.075","84.038","84.055","84.700","85.329","86.189","87.057"
"IMF.RES:WEO(9.0.0)","IRQ.LP.A","OBS_VALUE","Iraq","Population, Persons for countries / Index for country groups","Annual","Millions","38.124","39.128","40.150","41.191","42.249","43.324","44.415","45.521"
"IMF.RES:WEO(9.0.0)","IRN.NGDPDPC.A","OBS_VALUE","Iran, Islamic Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","4187.328","3035.117","2493.037","3656.385","4760.965","4940.258","4834.448","4263.822"
"IMF.RES:WEO(9.0.0)","LBN.BCA_NGDPD.A","OBS_VALUE","Lebanon","Current account balance (credit less debit), Percent of GDP","Annual","Units","-24.176","-21.728","-11.760","-22.203","-28.925","-23.970","-18.965","-22.475"
"IMF.RES:WEO(9.0.0)","LBN.LP.A","OBS_VALUE","Lebanon","Population, Persons for countries / Index for country groups","Annual","Millions","5.951","5.782","5.663","5.593","5.490","5.354","5.354","5.354"
"IMF.RES:WEO(9.0.0)","SAU.BCA_NGDPD.A","OBS_VALUE","Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","Units","7.899","3.645","-4.521","4.570","11.729","2.129","-1.296","-2.955"
"IMF.RES:WEO(9.0.0)","LBN.PCPIPCH.A","OBS_VALUE","Lebanon","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","6.068","2.896","84.869","154.759","171.195","221.343","45.243","14.598"
"IMF.RES:WEO(9.0.0)","OMN.PCPIPCH.A","OBS_VALUE","Oman","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.704","0.472","-0.395","1.664","2.512","0.952","0.587","1.000"
"IMF.RES:WEO(9.0.0)","JOR.NGDPDPC.A","OBS_VALUE","Jordan","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","4541.446","4552.801","4417.718","4588.189","4761.130","4913.167","5081.083","5354.927"
"IMF.RES:WEO(9.0.0)","ISR.LP.A","OBS_VALUE","Israel","Population, Persons for countries / Index for country groups","Annual","Millions","8.879","9.051","9.214","9.367","9.551","9.845","9.988","10.123"
"IMF.RES:WEO(9.0.0)","KWT.NGDPDPC.A","OBS_VALUE","Kuwait","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","31369.182","31549.877","25610.725","33824.862","38288.598","33679.025","32106.276","30876.881"
"IMF.RES:WEO(9.0.0)","KWT.BCA_NGDPD.A","OBS_VALUE","Kuwait","Current account balance (credit less debit), Percent of GDP","Annual","Units","14.344","12.678","4.362","25.204","34.392","31.068","29.024","23.267"
"IMF.RES:WEO(9.0.0)","KWT.PCPIPCH.A","OBS_VALUE","Kuwait","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.556","1.092","2.102","3.424","3.981","3.642","2.899","2.362"
"IMF.RES:WEO(9.0.0)","ISR.BCA_NGDPD.A","OBS_VALUE","Israel","Current account balance (credit less debit), Percent of GDP","Annual","Units","2.487","2.968","3.797","3.078","2.741","3.130","2.922","1.461"
"IMF.RES:WEO(9.0.0)","SAU.PCPIPCH.A","OBS_VALUE","Saudi Arabia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.471","-2.037","3.189","3.128","2.546","2.474","1.501","2.034"
"IMF.RES:WEO(9.0.0)","SAU.LP.A","OBS_VALUE","Saudi Arabia","Population, Persons for countries / Index for country groups","Annual","Millions","30.196","30.064","31.553","30.784","32.175","33.703","35.300","36.006"
"IMF.RES:WEO(9.0.0)","EGY.BCA_NGDPD.A","OBS_VALUE","Egypt, Arab Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","-2.266","-3.427","-2.919","-4.355","-3.483","-1.196","-5.431","-4.230"
"IMF.RES:WEO(9.0.0)","ARE.PCPIPCH.A","OBS_VALUE","United Arab Emirates","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.071","-1.934","-2.076","-0.113","4.824","1.627","1.661","1.279"
"IMF.RES:WEO(9.0.0)","ARE.BCA_NGDPD.A","OBS_VALUE","United Arab Emirates","Current account balance (credit less debit), Percent of GDP","Annual","Units","9.361","8.601","5.908","11.351","12.999","14.129","15.385","15.262"
"IMF.RES:WEO(9.0.0)","QAT.PCPIPCH.A","OBS_VALUE","Qatar","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.100","-0.900","-2.523","2.277","4.960","3.086","1.216","0.555"
"IMF.RES:WEO(9.0.0)","QAT.LP.A","OBS_VALUE","Qatar","Population, Persons for countries / Index for country groups","Annual","Millions","2.760","2.799","2.834","2.748","2.932","3.063","3.143","3.175"
"IMF.RES:WEO(9.0.0)","OMN.BCA_NGDPD.A","OBS_VALUE","Oman","Current account balance (credit less debit), Percent of GDP","Annual","Units","-4.873","-4.918","-16.549","-5.538","3.651","2.290","3.238","1.317"
"IMF.RES:WEO(9.0.0)","QAT.NGDPDPC.A","OBS_VALUE","Qatar","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","66421.617","63007.696","50962.499","65400.854","80385.391","70946.184","69719.505","69680.131"
"IMF.RES:WEO(9.0.0)","OMN.NGDPDPC.A","OBS_VALUE","Oman","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","19885.271","19069.329","17076.319","19458.594","22265.142","20552.608","20529.481","19996.059"
"IMF.RES:WEO(9.0.0)","OMN.LP.A","OBS_VALUE","Oman","Population, Persons for countries / Index for country groups","Annual","Millions","4.602","4.618","4.445","4.488","4.934","5.166","5.219","5.307"
"IMF.RES:WEO(9.0.0)","QAT.BCA_NGDPD.A","OBS_VALUE","Qatar","Current account balance (credit less debit), Percent of GDP","Annual","Units","9.083","2.415","-2.068","14.644","26.778","16.775","17.286","14.516"
"IMF.RES:WEO(9.0.0)","LBN.NGDPDPC.A","OBS_VALUE","Lebanon","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","9291.052","8817.679","4172.101","3669.513","4676.775","4574.386","5479.848","6443.215"
"IMF.RES:WEO(9.0.0)","WBG.NGDPDPC.A","OBS_VALUE","West Bank and Gaza","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","3353.225","3442.754","3044.744","3464.383","3579.222","3398.426","2853.301",""
"IMF.RES:WEO(9.0.0)","YEM.LP.A","OBS_VALUE","Yemen, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","15.338","15.800","16.261","16.713","17.200","17.726","18.262","18.810"
"IMF.RES:WEO(9.0.0)","EGY.NGDPDPC.A","OBS_VALUE","Egypt, Arab Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","2710.158","3214.301","3802.438","4145.939","4587.172","3743.608","3593.858","3379.429"
"IMF.RES:WEO(9.0.0)","G505.PCPIPCH.A","OBS_VALUE","Emerging and Developing Asia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.657","3.293","3.159","2.273","3.870","2.350","1.930","1.132"
"IMF.RES:WEO(9.0.0)","YEM.NGDPDPC.A","OBS_VALUE","Yemen, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","749.368","813.198","663.160","610.487","646.716","528.250","441.250","419.803"
